UserID,FirstName,LastName,Email,PhoneNumber,Gender,DateOfBirth,JoinDate,State,City,ZipCode
885441,Paul,Zamora,tammy76@faulkner-howard.com,242.194.8924x11578,Male,12/10/1980,8/20/2022,Massachusetts,New Thomas,68835
273146,Bryan,Sellers,cortezraymond@garrett.com,513.933.2871,Male,5/8/1976,12/13/2022,New York,West Andreaville,72255
348915,Lisa,Fernandez,zdavis@yahoo.com,934-232-0947x11220,Male,1/17/1986,10/15/2023,North Dakota,Aimeebury,28707
938517,Erin,Bryan,shannon51@yahoo.com,+1-179-533-0413x525,Female,4/3/1941,3/20/2021,Georgia,North Lisa,83627
954221,Sharon,Guzman,martinezjacob@wilson.com,9032173008,Female,8/9/1946,11/22/2021,California,North Deborah,46414
457252,Henry,Gordon,lyonspeter@howard-dennis.org,(302)258-4197,Non-Binary,8/1/1956,11/4/2020,New Mexico,Mcculloughhaven,41322
680457,Michael,Monroe,annsmith@hotmail.com,508-423-7594,Non-Binary,9/4/1981,4/19/2023,South Dakota,Lake Kyle,98606
434549,Maria,Miller,ernest37@page-nunez.biz,6960271427,Non-Binary,2/9/1999,3/6/2023,Rhode Island,North Troyport,61697
52279,Lisa,Golden,amymccarty@gmail.com,001-206-650-3008x9131,Non-Binary,10/23/1959,1/27/2022,Louisiana,North Thomas,52496
658128,Christopher,Hill,callahandennis@hotmail.com,+1-512-400-0348x5590,Non-Binary,2/3/2000,7/12/2023,New Jersey,Watsonside,23869
217941,Nicholas,Carter,josephmorgan@higgins-morgan.org,422945682,Female,6/5/1948,10/27/2022,Washington,North Kyle,69058
764057,Chad,Powell,robert18@yahoo.com,551.717.6045x2296,Non-Binary,8/14/1944,1/25/2021,Colorado,Lake Jeffrey,50939
8233,Corey,Hawkins,ymora@hotmail.com,001-361-534-9263x511,Non-Binary,7/19/1936,1/9/2023,New Hampshire,North Tyler,34118
217299,Danielle,Shea,danielellis@payne-hernandez.org,296.687.5773x8930,Female,2/8/1976,2/26/2022,Arizona,Port Jonathan,20935
883251,Nicholas,Phillips,marshzachary@gmail.com,320-407-5227,Female,7/9/2001,5/31/2022,North Dakota,New Christopherhaven,99833
629295,Vicki,Burgess,amanda96@bruce-compton.org,001-300-248-9451,Female,6/13/1968,1/28/2022,Wyoming,Cruzfurt,8661
